,Node,Nilai
39,AO,0.10521685510184116
40,AP,0.10521685510184116
32,AH,0.10521685510184116
2,C,0.05225615650531052
10,K,0.05225615650531052
38,AN,0.02890819727367156
33,AI,0.02890819727367156
29,AD,0.02890819727367156
3,D,0.028908197273671547
6,G,0.028908197273671547
5,F,0.02091771202848122
7,H,0.02091771202848122
9,J,0.02091771202848122
17,R,0.02091771202848122
26,AA,0.020917712028481215
36,AL,0.017866016614725946
11,L,0.017866016614725942
15,P,0.015734662428295413
14,O,0.015734662428295413
23,X,0.015734662428295413
35,AK,0.015734662428295413
4,E,0.013611787420557684
41,AF,0.01267610603143796
1,A,0.012676106031437958
34,AJ,0.01192944673387331
25,Z,0.011929446733873307
8,I,0.011929446733873306
24,Y,0.011403214062275454
30,AE,0.011403214062275454
19,T,0.010994464421834275
37,AM,0.010994464421834273
28,AC,0.010994464421834273
31,AG,0.010465983687846233
13,N,0.010465983687846233
22,W,0.010270702659426348
18,S,0.010105318129552484
21,V,0.010105318129552482
27,AB,0.010105318129552482
16,Q,0.01001873369938637
0,B,0.01001873369938637
20,U,0.009978810198281245
12,M,0.009959829134520655
